Date,ADX_22Lcap,ADX_66Lcap,ADX_132Lcap,RSI_14Lcap,RSI_22Lcap,RSI_66Lcap,RSI_132Lcap,SMA_14Lcap,SMA_22Lcap,SMA_66Lcap,SMA_132Lcap,Rets_RollingWeeklyLcap,Rets_RollingMonthlyLcap,Rets_RollingQtlyLcap,Vol_30Lcap,ADX_22Mcap,ADX_66Mcap,ADX_132Mcap,RSI_14Mcap,RSI_22Mcap,RSI_66Mcap,RSI_132Mcap,SMA_14Mcap,SMA_22Mcap,SMA_66Mcap,SMA_132Mcap,Rets_RollingWeeklyMcap,Rets_RollingMonthlyMcap,Rets_RollingQtlyMcap,Vol_30Mcap
2020-08-27,26.43723867113423,10.771343328767653,8.404563614327618,68.3859286029592,65.68845425538234,56.07496000366703,52.6246611627204,-1.63990982358297,-2.443976060259143,-7.272689734565142,-11.934376196404303,0.02183923555294509,0.022892708742825008,0.24093524470124206,0.008482488851310662,31.507994797474293,11.464965220664526,11.037700295048351,83.84511446840014,77.8304087851976,60.016356641496834,53.88070789628343,-2.467525457488499,-4.275181753144656,-9.259582142447462,-12.666117647515254,0.021893556910188572,0.11706584401807518,0.33758925113757376,0.007030708577532466
2020-08-28,26.833970953703965,10.764998326821084,8.350994075497134,71.16654948368809,67.38398225448836,56.59431306524774,52.90230151486178,-2.1616210147725847,-3.0216536384737647,-7.733162964030864,-12.694636600801976,0.024270991723315705,0.03969972065212901,0.2273421869954524,0.008207023048746744,32.50094410798593,11.521655229358602,10.969891541815116,84.89881622713874,78.68506992344747,60.406742105539315,54.09356450423745,-2.632200161549928,-4.441613334017659,-9.6237589116704,-13.428182402130835,0.022779827130568364,0.11805568695435498,0.32285732412381085,0.006816661411675537
2020-08-31,26.311499722087323,10.693847837789338,8.292672140418535,55.64857181566873,58.47241363060679,54.66232570291515,51.99832466112333,0.08472612690252478,-0.5602023142838315,-4.311649216736566,-8.594748159821046,-0.006885321434943692,0.02570219275861718,0.18863712327961424,0.009176930174975399,31.841028335315823,11.455682166445614,10.897678654006986,57.1126841957262,61.4857537792705,56.52539504041633,52.40553015790975,0.5940293727373991,-0.7452562007210213,-4.902128011756458,-8.162869578227639,-0.024489084098546998,0.08288816341506111,0.2568861893034733,0.010451186347864419
2020-09-01,25.812777182816898,10.623775386470195,8.234792038181439,58.73168148104123,60.2256182595323,55.1568487018505,52.259840230785834,-0.39237179540634376,-0.9616165153903095,-4.477340105805991,-8.73515593143217,-0.00017433371832031863,0.035833439234274955,0.16731879159346197,0.008992164548801312,31.12347174152227,11.382837014311672,10.827794627231142,59.9266366240358,63.16617761466373,57.08322842432254,52.70183070857629,0.2130364655248014,-0.9613804444824077,-4.894135657492774,-8.13198014860133,-0.019828492554014532,0.087135573801566,0.22907052138851403,0.010491493300290082
2020-09-02,25.339542868153828,10.555023968128921,8.177281333140062,61.01534201020166,61.556069190719306,55.54213028876552,52.46403184591857,-0.6995263358886415,-1.1778635376404578,-4.673216533139735,-9.044748051242594,-0.0012640792641114285,0.05907308510231957,0.15591590940361888,0.009005179122360882,30.630945313604947,11.332368058902125,10.7527374886442,64.51585192443706,66.00988515669601,58.082820870824136,53.238734337493696,-0.5261319103297284,-1.5757893012778454,-5.5713582814736595,-8.984654962126708,-0.010420622578755312,0.10349926000393062,0.23065655914932393,0.010707172094805269
2020-09-03,24.96066998196708,10.493908154168208,8.11845876424653,60.59429832352544,61.30557668549312,55.485689945944905,52.437680907130044,-0.5313302746367617,-1.0905232983730537,-4.883270136712663,-9.837664920926457,-0.0027510266399204397,0.038953623876208265,0.14569329964873434,0.008933423857042702,30.308771933730792,11.299601505050862,10.673679765887485,66.8736325252394,67.52569140469139,58.64722914010625,53.54538630087452,-0.8755923084215359,-1.9467539235627904,-6.276931504593957,-10.117567010160064,-0.003230978123804684,0.10062082559876928,0.23626685952495796,0.01068623761955881
2020-09-04,23.97029522624297,10.384000422252853,8.07167089386677,50.89540245156962,55.264122674627295,54.05545249168182,51.76586315503422,0.8481616783642376,0.34587403513443565,-3.1987280308145825,-8.06986631862982,-0.026936880603920077,0.020915738703687348,0.1300964244866354,0.009493824706840414,29.496796011302706,11.221529424202808,10.605568280808713,58.52537770933498,61.77275953797916,57.091265831488734,52.84924295036585,0.30452337366965976,-0.6452518192408381,-4.816930906250054,-8.67355934217361,-0.025496589772082467,0.07633994089467278,0.21659187628411258,0.011253217666082962
2020-09-07,22.881554973908678,10.26339660392977,8.028154077403824,51.80512564329858,55.76421684612814,54.1867577016542,51.833953389672,0.6983841641485219,0.25303473941190574,-3.2574937631548546,-8.337675167313053,-0.0028496329582875513,0.01383011911984311,0.1195899653769339,0.009427901799085035,28.481776573992363,11.121314297069146,10.54331691013726,54.791809956839664,59.09921034554478,56.32223240524279,52.50064341114441,0.8211621052270279,0.01359038455362959,-4.001800202759542,-7.8733638717882135,0.005850365924460421,0.055019889022288826,0.18520913766275449,0.011056900212772763
2020-09-08,21.99423964853741,10.157320497298873,7.981669227592805,50.030091034922734,54.626571479980534,53.908568609384055,51.703169616977995,0.8813245718616228,0.525296565062839,-2.781646587593852,-7.822773377997683,-0.013330170713367173,0.009211641332671938,0.11309614426167913,0.00904695543946844,27.213350806923927,10.992120005267603,10.488591649232685,49.2228638054037,54.992978638197044,55.08156872121204,51.932223558443766,1.5176320868714204,0.8627956161336667,-2.9252646288353357,-6.764451061373478,-0.01661771487144048,0.027109315256736988,0.16292673561936377,0.011442513019633492
2020-09-09,21.131557642823633,10.02764804484787,7.941468707069349,48.174703425000196,53.43457797245384,53.61684231907999,51.566332086020175,1.1186228302367547,0.7832995615758758,-2.3820430671476007,-7.531461886124655,-0.022280017338534908,0.0006964955304882281,0.12256319882734545,0.008923244064878832,26.286749352295047,10.82829851467518,10.442864616803384,47.289995073958714,53.53779867214197,54.62533233624591,51.72152111455007,1.7045945199597725,1.1754799009374326,-2.517412811764237,-6.489375372526515,-0.03629523989763472,0.008425962205324877,0.1610245109519821,0.011517656513972876
